

app  = aes
algo = singlecut
arch = virtex
opt  = -ise-alarm-stop=3600 -ise-archi-max-input=8 -ise-archi-max-output=2
gcc =   -emit-llvm
# calculating candidates
WARNING: no profiling information found, assuming uniform distribution
Selected architecture: P20ArchitectureVirtexFx
Default settings: 
 * CommInBusCLK: 2
 * CommOutBusCLK_: 2
 * CommInBusWidth_: 2
 * CommOutBusWidth_: 1
 * MaxCI: 7
 * MaxInput: 6
 * MaxOutput: 1
- changing value of MaxInput_: 8
- changing value of MaxOutput_: 2
mv: cannot stat `cand*.dat': No such file or directory
# calculating benchmarking results
WARNING: no profiling information found, assuming uniform distribution
Selected architecture: P20ArchitectureVirtexFx
Default settings: 
 * CommInBusCLK: 2
 * CommOutBusCLK_: 2
 * CommInBusWidth_: 2
 * CommOutBusWidth_: 1
 * MaxCI: 7
 * MaxInput: 6
 * MaxOutput: 1
- changing value of MaxInput_: 8
- changing value of MaxOutput_: 2
DAG_size	, msecs		, it	, candidate_found
1		, 0.01670	, 5989	, 0
1		, 0.01672	, 5981	, 0
1		, 0.01691	, 5912	, 0
1		, 0.01700	, 5882	, 0
3		, 0.02901	, 3447	, 0
3		, 0.03083	, 3244	, 1
3		, 0.03174	, 3151	, 3
3		, 0.03254	, 3073	, 3
3		, 0.03317	, 3015	, 3
3		, 0.03372	, 2966	, 3
3		, 0.03398	, 2943	, 3
3		, 0.03406	, 2936	, 3
3		, 0.03420	, 2924	, 3
3		, 0.03423	, 2921	, 3
3		, 0.03440	, 2907	, 3
3		, 0.03447	, 2901	, 3
3		, 0.03484	, 2870	, 3
3		, 0.03487	, 2868	, 3
4		, 0.03776	, 2648	, 1
4		, 0.03776	, 2648	, 1
4		, 0.03840	, 2604	, 1
4		, 0.03994	, 2504	, 1
4		, 0.04978	, 2009	, 3
5		, 0.04177	, 2394	, 3
5		, 0.06031	, 1658	, 3
5		, 0.06068	, 1648	, 6
5		, 0.06452	, 1550	, 6
5		, 0.06460	, 1548	, 13
5		, 0.06472	, 1545	, 6
5		, 0.06523	, 1533	, 6
5		, 0.06614	, 1512	, 6
5		, 0.06653	, 1503	, 6
5		, 0.06658	, 1502	, 6
5		, 0.06676	, 1498	, 7
5		, 0.06680	, 1497	, 6
5		, 0.06680	, 1497	, 6
5		, 0.06803	, 1470	, 13
5		, 0.06835	, 1463	, 7
6		, 0.04529	, 2208	, 1
6		, 0.04539	, 2203	, 3
6		, 0.04675	, 2139	, 1
6		, 0.04715	, 2121	, 1
6		, 0.04776	, 2094	, 3
6		, 0.04933	, 2027	, 1
6		, 0.05631	, 1776	, 3
6		, 0.05672	, 1763	, 3
6		, 0.05672	, 1763	, 3
6		, 0.05682	, 1760	, 3
6		, 0.05685	, 1759	, 3
6		, 0.05685	, 1759	, 3
6		, 0.05692	, 1757	, 3
6		, 0.05734	, 1744	, 3
6		, 0.05750	, 1739	, 3
6		, 0.05774	, 1732	, 3
6		, 0.06188	, 1616	, 10
6		, 0.06242	, 1602	, 10
